Country,Year,Greenhouse gas source and sink categories,Production/Consumption quantity description,Production/Consumption quantity (kt),Implied emission factors CO2 (t/t),Implied emission factors CH4 (t/t),Implied emission factors N2O (t/t),Emissions CO2 (kt),Emissions CH4 (kt),Emissions N2O (kt),Recovery/Capture CO2 fossil (kt),Recovery/Capture CO2 biogenic (kt),Recovery/Capture CO2 CH4 (kt),Recovery/Capture CO2 N2O (kt)
NLD,2003,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.987438,NO,NO,,NO
NLD,2004,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.09172,NO,NO,,NO
NLD,2005,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.0786,NO,NO,,NO
NLD,2006,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.1082,NO,NO,,NO
NLD,2007,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.8907,NO,NO,,NO
NLD,2008,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.7598,NO,NO,,NO
NLD,2009,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.1571,NO,NO,,NO
NLD,2010,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.8381,NO,NO,,NO
NLD,2011,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.108,NO,NO,,NO
NLD,2012,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.0017,NO,NO,,NO
NLD,2013,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.0118,NO,NO,,NO
NLD,2014,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.9318,NO,NO,,NO
NLD,2015,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,3.02651,NO,NO,,NO
NLD,2016,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.53418,NO,NO,,NO
NLD,2017,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.692681,NO,NO,,NO
NLD,2018,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.43659,NO,NO,,NO
NLD,2019,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.264673,NO,NO,,NO
NLD,2020,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,2.015919,NO,NO,,NO
NLD,2021,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,1.38537,NO,NO,,NO
NLD,2022,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,0.468334,NO,NO,,NO
NLD,2023,2.B.4.a. Caprolactam,(please specify),C,NO,,C,NO,,0.249259,NO,NO,,NO
POL,1988,2.B.4.a. Caprolactam,Caprolactam production,96.617,NO,,0.00474,NO,,0.457965,NO,NO,,NA
POL,1990,2.B.4.a. Caprolactam,Caprolactam production,97.288,NO,,0.00474,NO,,0.461145,NO,NO,,NA
POL,1991,2.B.4.a. Caprolactam,Caprolactam production,103.652,NO,,0.00474,NO,,0.49131,NO,NO,,NA
POL,1992,2.B.4.a. Caprolactam,Caprolactam production,104.681,NO,,0.00474,NO,,0.496188,NO,NO,,NA
POL,1993,2.B.4.a. Caprolactam,Caprolactam production,103.169,NO,,0.00474,NO,,0.489021,NO,NO,,NA
POL,1994,2.B.4.a. Caprolactam,Caprolactam production,106.274,NO,,0.00474,NO,,0.503739,NO,NO,,NA
POL,1995,2.B.4.a. Caprolactam,Caprolactam production,126.276,NO,,0.00474,NO,,0.598548,NO,NO,,NA
POL,1996,2.B.4.a. Caprolactam,Caprolactam production,127.769,NO,,0.00474,NO,,0.605625,NO,NO,,NA
POL,1997,2.B.4.a. Caprolactam,Caprolactam production,130.294,NO,,0.00474,NO,,0.617594,NO,NO,,NA
POL,1998,2.B.4.a. Caprolactam,Caprolactam production,131.31,NO,,0.00474,NO,,0.622409,NO,NO,,NA
POL,1999,2.B.4.a. Caprolactam,Caprolactam production,139.588,NO,,0.00474,NO,,0.661647,NO,NO,,NA
POL,2000,2.B.4.a. Caprolactam,Caprolactam production,146.923,NO,,0.00474,NO,,0.696415,NO,NO,,NA
POL,2001,2.B.4.a. Caprolactam,Caprolactam production,148.6,NO,,0.00474,NO,,0.704364,NO,NO,,NA
POL,2002,2.B.4.a. Caprolactam,Caprolactam production,152.9,NO,,0.00474,NO,,0.724746,NO,NO,,NA
POL,2003,2.B.4.a. Caprolactam,Caprolactam production,152.37334,NO,,0.00474,NO,,0.72225,NO,NO,,NA
POL,2004,2.B.4.a. Caprolactam,Caprolactam production,149.49,NO,,0.00474,NO,,0.708583,NO,NO,,NA
POL,2005,2.B.4.a. Caprolactam,Caprolactam production,159.733,NO,,0.00474,NO,,0.757134,NO,NO,,NA
POL,2006,2.B.4.a. Caprolactam,Caprolactam production,159.708,NO,,0.00474,NO,,0.757016,NO,NO,,NA
POL,2007,2.B.4.a. Caprolactam,Caprolactam production,157.602,NO,,0.00474,NO,,0.747033,NO,NO,,NA
POL,2008,2.B.4.a. Caprolactam,Caprolactam production,144.852,NO,,0.00474,NO,,0.686598,NO,NO,,NA
POL,2009,2.B.4.a. Caprolactam,Caprolactam production,144.974,NO,,0.00474,NO,,0.687177,NO,NO,,NA
POL,2010,2.B.4.a. Caprolactam,Caprolactam production,159.307,NO,,0.00474,NO,,0.755115,NO,NO,,NA
POL,2011,2.B.4.a. Caprolactam,Caprolactam production,164.044,NO,,0.00474,NO,,0.777569,NO,NO,,NA
POL,2012,2.B.4.a. Caprolactam,Caprolactam production,162.995,NO,,0.00474,NO,,0.772596,NO,NO,,NA
POL,2013,2.B.4.a. Caprolactam,Caprolactam production,159.916,NO,,0.00474,NO,,0.758002,NO,NO,,NA
POL,2014,2.B.4.a. Caprolactam,Caprolactam production,167.601,NO,,0.00474,NO,,0.794429,NO,NO,,NA
POL,2015,2.B.4.a. Caprolactam,Caprolactam production,164.695,NO,,0.0027,NO,,0.444677,NO,NO,,NA
POL,2016,2.B.4.a. Caprolactam,Caprolactam production,164.426,NO,,0.0015,NO,,0.246639,NO,NO,,NA
POL,2017,2.B.4.a. Caprolactam,Caprolactam production,167.532,NO,,0.0008,NO,,0.134026,NO,NO,,NA
POL,2018,2.B.4.a. Caprolactam,Caprolactam production,166.147,NO,,0.0008,NO,,0.132918,NO,NO,,NA
POL,2019,2.B.4.a. Caprolactam,Caprolactam production,166.516,NO,,0.0009,NO,,0.149864,NO,NO,,NA
POL,2020,2.B.4.a. Caprolactam,Caprolactam production,157.749,NO,,0.0006,NO,,0.094649,NO,NO,,NA
POL,2021,2.B.4.a. Caprolactam,Caprolactam production,169.988,NO,,0.0008,NO,,0.13599,NO,NO,,NA
POL,2022,2.B.4.a. Caprolactam,Caprolactam production,132.928,NO,,0.001176,NO,,0.156315,NO,NO,,NA
POL,2023,2.B.4.a. Caprolactam,Caprolactam production,91.019,NO,,0.00152,NO,,0.138343,NO,NO,,NA
ROU,1989,2.B.4.a. Caprolactam,Caprolactam production,49,"NA,NO",,0.009,NA,,0.441,NO,NO,,NO
ROU,1990,2.B.4.a. Caprolactam,Caprolactam production,41,"NA,NO",,0.009,NA,,0.369,NO,NO,,NO
ROU,1991,2.B.4.a. Caprolactam,Caprolactam production,25,"NA,NO",,0.009,NA,,0.225,NO,NO,,NO
ROU,1992,2.B.4.a. Caprolactam,Caprolactam production,18,"NA,NO",,0.009,NA,,0.162,NO,NO,,NO
ROU,1993,2.B.4.a. Caprolactam,Caprolactam production,19,"NA,NO",,0.009,NA,,0.171,NO,NO,,NO
ROU,1994,2.B.4.a. Caprolactam,Caprolactam production,17,"NA,NO",,0.009,NA,,0.153,NO,NO,,NO
ROU,1995,2.B.4.a. Caprolactam,Caprolactam production,22,"NA,NO",,0.009,NA,,0.198,NO,NO,,NO
ROU,1996,2.B.4.a. Caprolactam,Caprolactam production,18,"NA,NO",,0.009,NA,,0.162,NO,NO,,NO
ROU,1997,2.B.4.a. Caprolactam,Caprolactam production,22,"NA,NO",,0.009,NA,,0.198,NO,NO,,NO
ROU,1998,2.B.4.a. Caprolactam,Caprolactam production,20,"NA,NO",,0.009,NA,,0.18,NO,NO,,NO
ROU,1999,2.B.4.a. Caprolactam,Caprolactam production,10,"NA,NO",,0.009,NA,,0.09,NO,NO,,NO
ROU,2000,2.B.4.a. Caprolactam,Caprolactam production,16,"NA,NO",,0.009,NA,,0.144,NO,NO,,NO
RUS,1990,2.B.4.a. Caprolactam,Caprolactam production,231.596,NE,,0.009,NE,,2.084364,NE,NE,,NO
RUS,1991,2.B.4.a. Caprolactam,Caprolactam production,223.259,NE,,0.009,NE,,2.009331,NE,NE,,NO
RUS,1992,2.B.4.a. Caprolactam,Caprolactam production,219.46,NE,,0.009,NE,,1.97514,NE,NE,,NO
RUS,1993,2.B.4.a. Caprolactam,Caprolactam production,211.517,NE,,0.009,NE,,1.903653,NE,NE,,NO
RUS,1994,2.B.4.a. Caprolactam,Caprolactam production,136.485,NE,,0.009,NE,,1.228365,NE,NE,,NO
RUS,1995,2.B.4.a. Caprolactam,Caprolactam production,158.353,NE,,0.009,NE,,1.425177,NE,NE,,NO
RUS,1996,2.B.4.a. Caprolactam,Caprolactam production,157.282,NE,,0.009,NE,,1.415538,NE,NE,,NO
RUS,1997,2.B.4.a. Caprolactam,Caprolactam production,197.906,NE,,0.009,NE,,1.781154,NE,NE,,NO
RUS,1998,2.B.4.a. Caprolactam,Caprolactam production,162.574,NE,,0.009,NE,,1.463166,NE,NE,,NO
RUS,1999,2.B.4.a. Caprolactam,Caprolactam production,215.507,NE,,0.009,NE,,1.939563,NE,NE,,NO
RUS,2000,2.B.4.a. Caprolactam,Caprolactam production,246.782,NE,,0.009,NE,,2.221038,NE,NE,,NO
RUS,2001,2.B.4.a. Caprolactam,Caprolactam production,263.865,NE,,0.009,NE,,2.374785,NE,NE,,NO
RUS,2002,2.B.4.a. Caprolactam,Caprolactam production,264.567,NE,,0.009,NE,,2.381103,NE,NE,,NO
RUS,2003,2.B.4.a. Caprolactam,Caprolactam production,268.551,NE,,0.009,NE,,2.416959,NE,NE,,NO
RUS,2004,2.B.4.a. Caprolactam,Caprolactam production,295.585,NE,,0.009,NE,,2.660265,NE,NE,,NO
RUS,2005,2.B.4.a. Caprolactam,Caprolactam production,308.353,NE,,0.009,NE,,2.775177,NE,NE,,NO
RUS,2006,2.B.4.a. Caprolactam,Caprolactam production,318.071,NE,,0.009,NE,,2.862639,NE,NE,,NO
RUS,2007,2.B.4.a. Caprolactam,Caprolactam production,335.694,NE,,0.009,NE,,3.021246,NE,NE,,NO
RUS,2008,2.B.4.a. Caprolactam,Caprolactam production,316.564,NE,,0.009,NE,,2.849076,NE,NE,,NO
RUS,2009,2.B.4.a. Caprolactam,Caprolactam production,319.106,NE,,0.009,NE,,2.871954,NE,NE,,NO
RUS,2010,2.B.4.a. Caprolactam,Caprolactam production,329.433962,NE,,0.009,NE,,2.964906,NE,NE,,NO
RUS,2011,2.B.4.a. Caprolactam,Caprolactam production,362.264151,NE,,0.009,NE,,3.260377,NE,NE,,NO
RUS,2012,2.B.4.a. Caprolactam,Caprolactam production,329.642857,NE,,0.009,NE,,2.966786,NE,NE,,NO
RUS,2013,2.B.4.a. Caprolactam,Caprolactam production,346.666667,NE,,0.009,NE,,3.12,NE,NE,,NO
RUS,2014,2.B.4.a. Caprolactam,Caprolactam production,306.9492,NE,,0.009,NE,,2.762543,NE,NE,,NO
RUS,2015,2.B.4.a. Caprolactam,Caprolactam production,326.481481,NE,,0.009,NE,,2.938333,NE,NE,,NO
RUS,2016,2.B.4.a. Caprolactam,Caprolactam production,358.181818,NE,,0.009,NE,,3.223636,NE,NE,,NO
RUS,2017,2.B.4.a. Caprolactam,Caprolactam production,366.981132,NE,,0.009,NE,,3.30283,NE,NE,,NO
RUS,2018,2.B.4.a. Caprolactam,Caprolactam production,389.074074,NE,,0.009,NE,,3.501667,NE,NE,,NO
RUS,2019,2.B.4.a. Caprolactam,Caprolactam production,386.727273,NE,,0.009,NE,,3.480545,NE,NE,,NO
RUS,2020,2.B.4.a. Caprolactam,Caprolactam production,364.807692,NE,,0.009,NE,,3.283269,NE,NE,,NO
RUS,2021,2.B.4.a. Caprolactam,Caprolactam production,376.2222,NE,,0.009,NE,,3.386,NE,NE,,NO
RUS,2022,2.B.4.a. Caprolactam,Caprolactam production,376.2222,NE,,0.009,NE,,3.386,NE,NE,,NO
RUS,2023,2.B.4.a. Caprolactam,Caprolactam production,342.244898,NE,,0.009,NE,,3.080204,NE,NE,,NO
THA,2020,2.B.4.a. Caprolactam,Caprolactam production,121.268,,,0.009053,,,1.097793,,,,
THA,2021,2.B.4.a. Caprolactam,Caprolactam production,130,,,0.009,,,1.17,,,,
THA,2022,2.B.4.a. Caprolactam,Caprolactam production,102.776,,,0.009,,,0.925,,,,
UKR,1990,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.45729,NO,NO,,NO
UKR,1991,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.35694,NO,NO,,NO
UKR,1992,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.29394,NO,NO,,NO
UKR,1993,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.1278,NO,NO,,NO
UKR,1994,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.10404,NO,NO,,NO
UKR,1995,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.10044,NO,NO,,NO
UKR,1996,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.117,NO,NO,,NO
UKR,1997,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.00603,NO,NO,,NO
UKR,1998,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.0972,NO,NO,,NO
UKR,1999,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.00639,NO,NO,,NO
UKR,2000,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.08775,NO,NO,,NO
UKR,2001,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.13914,NO,NO,,NO
UKR,2002,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.16551,NO,NO,,NO
UKR,2003,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.39465,NO,NO,,NO
UKR,2004,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.47007,NO,NO,,NO
UKR,2005,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.45477,NO,NO,,NO
UKR,2006,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.48231,NO,NO,,NO
UKR,2007,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.50625,NO,NO,,NO
UKR,2008,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.38772,NO,NO,,NO
UKR,2009,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.17847,NO,NO,,NO
UKR,2010,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.49248,NO,NO,,NO
UKR,2011,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.54657,NO,NO,,NO
UKR,2012,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.2268,NO,NO,,NO
UKR,2013,2.B.4.a. Caprolactam,Caprolactam production,C,NO,,C,NO,,0.11439,NO,NO,,NO
USA,1990,2.B.4.a. Caprolactam,Caprolactam production,626,NA,,0.009,NA,,5.634,NA,NA,,NO
USA,1991,2.B.4.a. Caprolactam,Caprolactam production,582,NA,,0.009,NA,,5.238,NA,NA,,NO
USA,1992,2.B.4.a. Caprolactam,Caprolactam production,625,NA,,0.009,NA,,5.625,NA,NA,,NO
USA,1993,2.B.4.a. Caprolactam,Caprolactam production,650,NA,,0.009,NA,,5.85,NA,NA,,NO
USA,1994,2.B.4.a. Caprolactam,Caprolactam production,700,NA,,0.009,NA,,6.3,NA,NA,,NO
USA,1995,2.B.4.a. Caprolactam,Caprolactam production,725,NA,,0.009,NA,,6.525,NA,NA,,NO
USA,1996,2.B.4.a. Caprolactam,Caprolactam production,720,NA,,0.009,NA,,6.48,NA,NA,,NO
USA,1997,2.B.4.a. Caprolactam,Caprolactam production,730,NA,,0.009,NA,,6.57,NA,NA,,NO
USA,1998,2.B.4.a. Caprolactam,Caprolactam production,740,NA,,0.009,NA,,6.66,NA,NA,,NO
USA,1999,2.B.4.a. Caprolactam,Caprolactam production,735,NA,,0.009,NA,,6.615,NA,NA,,NO
USA,2000,2.B.4.a. Caprolactam,Caprolactam production,760,NA,,0.009,NA,,6.84,NA,NA,,NO
USA,2001,2.B.4.a. Caprolactam,Caprolactam production,690,NA,,0.009,NA,,6.21,NA,NA,,NO
USA,2002,2.B.4.a. Caprolactam,Caprolactam production,745,NA,,0.009,NA,,6.705,NA,NA,,NO
USA,2003,2.B.4.a. Caprolactam,Caprolactam production,730,NA,,0.009,NA,,6.57,NA,NA,,NO
USA,2004,2.B.4.a. Caprolactam,Caprolactam production,785,NA,,0.009,NA,,7.065,NA,NA,,NO
USA,2005,2.B.4.a. Caprolactam,Caprolactam production,795,NA,,0.009,NA,,7.155,NA,NA,,NO
USA,2006,2.B.4.a. Caprolactam,Caprolactam production,775,NA,,0.009,NA,,6.975,NA,NA,,NO
USA,2007,2.B.4.a. Caprolactam,Caprolactam production,825,NA,,0.009,NA,,7.425,NA,NA,,NO
USA,2008,2.B.4.a. Caprolactam,Caprolactam production,800,NA,,0.009,NA,,7.2,NA,NA,,NO
USA,2009,2.B.4.a. Caprolactam,Caprolactam production,795,NA,,0.009,NA,,7.155,NA,NA,,NO
USA,2010,2.B.4.a. Caprolactam,Caprolactam production,835,NA,,0.009,NA,,7.515,NA,NA,,NO
USA,2011,2.B.4.a. Caprolactam,Caprolactam production,835,NA,,0.009,NA,,7.515,NA,NA,,NO
USA,2012,2.B.4.a. Caprolactam,Caprolactam production,775,NA,,0.009,NA,,6.975,NA,NA,,NO
USA,2013,2.B.4.a. Caprolactam,Caprolactam production,785,NA,,0.009,NA,,7.065,NA,NA,,NO
USA,2014,2.B.4.a. Caprolactam,Caprolactam production,755,NA,,0.009,NA,,6.795,NA,NA,,NO
USA,2015,2.B.4.a. Caprolactam,Caprolactam production,700,NA,,0.009,NA,,6.3,NA,NA,,NO
USA,2016,2.B.4.a. Caprolactam,Caprolactam production,640,NA,,0.009,NA,,5.76,NA,NA,,NO
USA,2017,2.B.4.a. Caprolactam,Caprolactam production,545,NA,,0.009,NA,,4.905,NA,NA,,NO
USA,2018,2.B.4.a. Caprolactam,Caprolactam production,530,NA,,0.009,NA,,4.77,NA,NA,,NO
USA,2019,2.B.4.a. Caprolactam,Caprolactam production,515,NA,,0.009,NA,,4.635,NA,NA,,NO
USA,2020,2.B.4.a. Caprolactam,Caprolactam production,480,NA,,0.009,NA,,4.32,NA,NA,,NO
USA,2021,2.B.4.a. Caprolactam,Caprolactam production,510,NA,,0.009,NA,,4.59,NA,NA,,NO
USA,2022,2.B.4.a. Caprolactam,Caprolactam production,560,NA,,0.009,NA,,5.04,NA,NA,,NO
